"COUNTRY","Country","BIRTH","Place of birth","HATLEV1D","Educational attainment","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CZE","Czech Republic","FB","Foreign-born","L","Low","2017","2017","PC","Percentage","0","Units",,,67.4,,
"CZE","Czech Republic","FB","Foreign-born","L","Low","2018","2018","PC","Percentage","0","Units",,,70.2,,
"CZE","Czech Republic","FB","Foreign-born","L","Low","2019","2019","PC","Percentage","0","Units",,,64.8,,
"CZE","Czech Republic","FB","Foreign-born","M","Medium","2015","2015","PC","Percentage","0","Units",,,77.6,,
"CZE","Czech Republic","FB","Foreign-born","M","Medium","2016","2016","PC","Percentage","0","Units",,,78.2,,
"CZE","Czech Republic","FB","Foreign-born","M","Medium","2017","2017","PC","Percentage","0","Units",,,85,,
"CZE","Czech Republic","FB","Foreign-born","M","Medium","2018","2018","PC","Percentage","0","Units",,,84.2,,
"CZE","Czech Republic","FB","Foreign-born","M","Medium","2019","2019","PC","Percentage","0","Units",,,82.4,,
"CZE","Czech Republic","FB","Foreign-born","H","High","2015","2015","PC","Percentage","0","Units",,,82.2,,
"CZE","Czech Republic","FB","Foreign-born","H","High","2016","2016","PC","Percentage","0","Units",,,85.5,,
"CZE","Czech Republic","FB","Foreign-born","H","High","2017","2017","PC","Percentage","0","Units",,,82.6,,
"CZE","Czech Republic","FB","Foreign-born","H","High","2018","2018","PC","Percentage","0","Units",,,81.8,,
"CZE","Czech Republic","FB","Foreign-born","H","High","2019","2019","PC","Percentage","0","Units",,,83.5,,
"DNK","Denmark","FB","Foreign-born","T","Total","2015","2015","PC","Percentage","0","Units",,,65.4,,
"DNK","Denmark","FB","Foreign-born","T","Total","2016","2016","PC","Percentage","0","Units",,,68.6,,
"DNK","Denmark","FB","Foreign-born","T","Total","2017","2017","PC","Percentage","0","Units",,,66.8,,
"DNK","Denmark","FB","Foreign-born","T","Total","2018","2018","PC","Percentage","0","Units",,,68.3,,
"DNK","Denmark","FB","Foreign-born","T","Total","2019","2019","PC","Percentage","0","Units",,,68.2,,
"DNK","Denmark","FB","Foreign-born","L","Low","2015","2015","PC","Percentage","0","Units",,,49.1,,
"DNK","Denmark","FB","Foreign-born","L","Low","2016","2016","PC","Percentage","0","Units",,,53.4,,
"DNK","Denmark","FB","Foreign-born","L","Low","2017","2017","PC","Percentage","0","Units",,,52.7,,
"DNK","Denmark","FB","Foreign-born","L","Low","2018","2018","PC","Percentage","0","Units",,,55.7,,
"DNK","Denmark","FB","Foreign-born","L","Low","2019","2019","PC","Percentage","0","Units",,,54.6,,
"DNK","Denmark","FB","Foreign-born","M","Medium","2015","2015","PC","Percentage","0","Units",,,68,,
"DNK","Denmark","FB","Foreign-born","M","Medium","2016","2016","PC","Percentage","0","Units",,,68.9,,
"DNK","Denmark","FB","Foreign-born","M","Medium","2017","2017","PC","Percentage","0","Units",,,69.1,,
"DNK","Denmark","FB","Foreign-born","M","Medium","2018","2018","PC","Percentage","0","Units",,,69.8,,
"DNK","Denmark","FB","Foreign-born","M","Medium","2019","2019","PC","Percentage","0","Units",,,68.7,,
"DNK","Denmark","FB","Foreign-born","H","High","2015","2015","PC","Percentage","0","Units",,,75.4,,
"DNK","Denmark","FB","Foreign-born","H","High","2016","2016","PC","Percentage","0","Units",,,77.2,,
"DNK","Denmark","FB","Foreign-born","H","High","2017","2017","PC","Percentage","0","Units",,,75.7,,
"DNK","Denmark","FB","Foreign-born","H","High","2018","2018","PC","Percentage","0","Units",,,76.9,,
"DNK","Denmark","FB","Foreign-born","H","High","2019","2019","PC","Percentage","0","Units",,,80.1,,
"FIN","Finland","FB","Foreign-born","T","Total","2015","2015","PC","Percentage","0","Units",,,62.5,,
"FIN","Finland","FB","Foreign-born","T","Total","2016","2016","PC","Percentage","0","Units",,,63.6,,
"FIN","Finland","FB","Foreign-born","T","Total","2017","2017","PC","Percentage","0","Units",,,67.7,,
"FIN","Finland","FB","Foreign-born","T","Total","2018","2018","PC","Percentage","0","Units",,,66.4,,
"FIN","Finland","FB","Foreign-born","T","Total","2019","2019","PC","Percentage","0","Units",,,69.6,,
"FIN","Finland","FB","Foreign-born","L","Low","2015","2015","PC","Percentage","0","Units",,,53.6,,
"FIN","Finland","FB","Foreign-born","L","Low","2016","2016","PC","Percentage","0","Units",,,55.2,,
"FIN","Finland","FB","Foreign-born","L","Low","2017","2017","PC","Percentage","0","Units",,,60.4,,
"FIN","Finland","FB","Foreign-born","L","Low","2018","2018","PC","Percentage","0","Units",,,53.6,,
"FIN","Finland","FB","Foreign-born","L","Low","2019","2019","PC","Percentage","0","Units",,,51.8,,
"FIN","Finland","FB","Foreign-born","M","Medium","2015","2015","PC","Percentage","0","Units",,,68.5,,
